nome_canal,perfil_canal,pais,inscritos,avg_views,avg_likes,avg_comments
1MILLION Dance Studio,1MILLION Dance Studio,India,25700000,48600.0,2500.0,36.0
Renato Garcia,xSkyHeLLxx,Brazil,25700000,1100000.0,97900.0,1500.0
LosPolinesios,LosPolinesios,Mexico,25700000,1700000.0,62000.0,2200.0
JYP Entertainment,jypentertainment,United States,25500000,219800.0,24100.0,1300.0
BB Ki Vines,BB Ki Vines,India,25500000,6700000.0,870800.0,73300.0
Lucas and Marcus,TwiNboTzVids,United States,25500000,1000000.0,25700.0,1200.0
Nick Jr.,nickelodeonjuniorfr,,25400000,76300.0,241.0,0.0
Smosh,smosh,United States,25100000,213100.0,12600.0,437.0
Beyoncé,beyonce,United States,25100000,5300000.0,221400.0,12500.0
Jess No Limit,Jess No Limit,Indonesia,24900000,319900.0,11700.0,897.0
Goldmines Dishoom,Goldmines Dishoom,,24800000,28300.0,327.0,0.0
WatchMojo.com,WatchMojo,United States,24700000,92300.0,2500.0,310.0
Nicki Minaj,NickiMinajTelevision,United States,24700000,350500.0,32700.0,2400.0
Sandeep Maheshwari,Sandeep Maheshwari,India,24700000,257100.0,28000.0,172.0
Masha y el Oso,Masha y el Oso,,24500000,562900.0,3500.0,0.0
Netflix,NewOnNetflix,United States,24500000,198900.0,3400.0,321.0
Raffy Tulfo in Action,Raffy Tulfo in Action,Philippines,24500000,680200.0,10500.0,1000.0
David Guetta,davidguettavevo,Brazil,24500000,178200.0,6500.0,369.0
Post Malone,postmalone,United States,24500000,138200.0,9800.0,573.0
ZHC,ZHC,United States,24500000,0.0,0.0,0.0
1theK (원더케이),LOENENT,Indonesia,24300000,12300.0,1100.0,49.0
Rans Entertainment,Rans Entertainment,Indonesia,24200000,894400.0,29700.0,737.0
Amit Bhadana,Amit Bhadana,India,24200000,0.0,0.0,0.0
Chloe Ting,Chloe Ting,United States,24100000,183600.0,10700.0,374.0
Aditya Movies,adityacinema,India,24100000,22400.0,496.0,17.0
KSI,KSIOlajidebt,United Kingdom,24100000,453800.0,51700.0,1800.0
James Charles,James Charles,United States,23900000,1100000.0,65300.0,1400.0
Ninja,NinjasHyper,United States,23900000,251400.0,11300.0,613.0
Diana and Roma HIN,Diana and Roma HIN,,23700000,328000.0,1700.0,0.0
Chris Brown,ChrisBrownTV,United States,23700000,9800000.0,361300.0,19300.0
Coldplay,ColdplayVEVO,United States,23600000,329500.0,13700.0,600.0
Logan Paul,Logan Paul,United States,23600000,0.0,0.0,0.0
TRANS7 OFFICIAL,TRANS7indonesia,Indonesia,23500000,6600.0,89.0,8.0
ABPLIVE,ABPLIVE,India,23500000,2500.0,28.0,3.0
