nome_canal,perfil_canal,inscritos,pais,avg_views,avg_likes,avg_comments
mkmusicnews,MK MUSIC,15200000,Brazil,19800.0,1800.0,35.0
TheRichest,TheRichest,15200000,United States,14200.0,513.0,79.0
Super Senya,Super Senya,15200000,,65000.0,374.0,0.0
TalkingFriends,Talking Tom & Friends,15200000,United States,191100.0,1700.0,0.0
حِرف إبداعية في 5 دقائق,حِرف إبداعية في 5 دقائق,15200000,Egypt,28700.0,230.0,7.0
bbchindi,BBC News Hindi,15200000,India,140000.0,0.0,269.0
narendramodionline,NMF News,15200000,India,14300.0,307.0,29.0
News18 India,News18 India,15200000,India,1100.0,23.0,1.0
ndtvindia,NDTV India,15100000,India,9400.0,237.0,20.0
Fun For Kids TV - Hindi Rhymes,Fun For Kids TV - Hindi Rhymes,15100000,,250500.0,1400.0,0.0
La Rosa de Guadalupe,La Rosa de Guadalupe,15100000,Mexico,33800.0,992.0,16.0
SMOL,SMOL,15100000,India,354600.0,13900.0,12.0
ranziscool,Ranz Kyle,15000000,Philippines,684800.0,25700.0,291.0
thairathonline,Thairath Online,15000000,Thailand,10900.0,162.0,15.0
TWICE,TWICE,15000000,Philippines,545500.0,64900.0,843.0
pognalishow,Дима Масленников,15000000,Russia,4800000.0,408600.0,18500.0
Mariale,Mariale,15000000,Mexico,73500.0,4100.0,210.0
RiotGamesInc,League of Legends,15000000,United States,1400000.0,48200.0,3400.0
Niana Guerrero,Niana Guerrero,15000000,Philippines,437600.0,18600.0,814.0
TeamFilmsBhojpuri,Team Films Bhojpuri,15000000,India,16700.0,583.0,39.0
BollywoodClassics,Bollywood Classics,15000000,India,22400.0,165.0,7.0
unknown boy varun,unknown boy varun,15000000,India,4500000.0,589000.0,572.0
LinusTechTips,Linus Tech Tips,15000000,United States,1400000.0,62900.0,2800.0
Dave and Ava - Nursery Rhymes and Baby Songs,Dave and Ava - Nursery Rhymes and Baby Songs,15000000,,102500.0,395.0,0.0
Lachlan,Lachlan,14800000,United States,333000.0,15900.0,327.0
zncoficial,Zé Neto e Cristiano,14800000,Brazil,18900.0,1600.0,21.0
ERB,ERB,14800000,United States,2400000.0,167200.0,20900.0
kwebbelkop,Kwebbelkop,14800000,United States,68300.0,1600.0,188.0
Alan Chikin Chow,Alan Chikin Chow,14800000,India,4600000.0,138800.0,245.0
Totoy kids - Español,Totoy kids - Español,14800000,,50400.0,1300.0,0.0
jemproducoes,Jorge & Mateus Oficial,14800000,Brazil,16600.0,921.0,34.0
iTownGamePlay,iTownGamePlay *Terror&Diversión*,14800000,Mexico,65800.0,4400.0,178.0
majorlazer,Major Lazer Official,14800000,United States,13300.0,574.0,13.0
It's Mamix,It's Mamix,14800000,Russia,3900000.0,230100.0,8600.0
ChallengeAcceptedInc,Aphmau,14800000,United States,2300000.0,54900.0,3500.0
Johny FamilyShow,Johny FamilyShow,14800000,,95000.0,257.0,0.0
Daftar Populer,Daftar Populer,14800000,Indonesia,49200.0,1100.0,92.0
Planeta das Gêmeas,Planeta das Gêmeas,14800000,,539800.0,23500.0,56.0
Zach King,Zach King,14800000,United States,1300000.0,28500.0,2700.0
Mobile Legends: Bang Bang Official,Mobile Legends: Bang Bang Official,14700000,Indonesia,599700.0,3600.0,48.0
MSA previously My Story Animated,MSA previously My Story Animated,14700000,United States,6400000.0,164100.0,5000.0
